IdSource,IdTarget,Weight,Type
frod,sams,533,undirected
frod,ganda,181,undirected
merr,pipp,162,undirected
arag,frod,146,undirected
frod,goll,127,undirected
bilb,frod,126,undirected
ganda,pipp,124,undirected
arag,ganda,123,undirected
goll,sams,118,undirected
frod,pipp,115,undirected
frod,ring,110,undirected
gimli,lego,109,undirected
frod,shir,104,undirected
pipp,sams,101,undirected
frod,merr,86,undirected
arag,lego,84,undirected
arag,sams,75,undirected
arag,gimli,73,undirected
ganda,saru,72,undirected
boro,frod,68,undirected
ganda,ring,67,undirected
arag,merr,65,undirected
arag,pipp,64,undirected
arag,boro,63,undirected
isen,saru,63,undirected
merr,sams,63,undirected
arag,elro,59,undirected
ring,saur,59,undirected
ganda,theod,57,undirected
fara,frod,55,undirected
mord,saur,55,undirected
bilb,ganda,54,undirected
ganda,gimli,54,undirected
arag,gond,52,undirected
gond,roha,52,undirected
ganda,sams,51,undirected
arag,eome,50,undirected
sams,shir,50,undirected
arag,roha,49,undirected
bilb,shir,49,undirected
ganda,shir,49,undirected
frod,mord,48,undirected
ring,sams,46,undirected
elve,frod,45,undirected
frod,rive,45,undirected
ganda,gond,45,undirected
ganda,isen,45,undirected
ganda,lego,45,undirected
elro,ganda,44,undirected
elve,sams,43,undirected
ents,treeb,42,undirected
ganda,sfax,42,undirected
arag,orcs,41,undirected
bage,frod,41,undirected
ganda,merr,41,undirected
pipp,shir,41,undirected
andu,gond,40,undirected
arag,comp,40,undirected
dene,ganda,40,undirected
hobb,shir,40,undirected
elro,frod,39,undirected
ganda,saur,39,undirected
gond,saur,38,undirected
bree,shir,37,undirected
fara,gond,37,undirected
ganda,mord,37,undirected
ganda,roha,37,undirected
arag,tiri,36,undirected
bilb,sams,36,undirected
eome,theod,36,undirected
fara,ganda,36,undirected
ganda,mori,36,undirected
dene,pipp,35,undirected
orth,saru,35,undirected
arag,mord,34,undirected
comp,frod,34,undirected
frod,gimli,34,undirected
frod,orcs,34,undirected
ganda,treeb,34,undirected
merr,shir,34,undirected
mord,sams,34,undirected
boro,ganda,33,undirected
ganda,orth,33,undirected
arag,saur,32,undirected
arag,theod,32,undirected
roha,saru,32,undirected
arag,fara,31,undirected
arag,ring,30,undirected
bilb,ring,30,undirected
boro,comp,30,undirected
boro,pipp,30,undirected
boro,ring,30,undirected
gond,pipp,30,undirected
pipp,orcs,30,undirected
roha,theod,30,undirected
arag,arat,29,undirected
dene,fara,29,undirected
ring,shir,29,undirected
arag,elen,28,undirected
arag,rive,28,undirected
boro,gond,28,undirected
frod,lego,28,undirected
merr,treeb,28,undirected
saru,saur,28,undirected
arag,bree,27,undirected
arag,shir,27,undirected
bere,pipp,27,undirected
boro,dene,27,undirected
boro,fara,27,undirected
boro,tiri,27,undirected
dene,gond,27,undirected
elro,ring,27,undirected
elro,rive,27,undirected
eome,roha,27,undirected
fara,sams,27,undirected
lego,merr,27,undirected
arag,arwe,26,undirected
bilb,goll,26,undirected
boro,sams,26,undirected
comp,ganda,26,undirected
dwar,elve,26,undirected
fara,pipp,26,undirected
frod,saur,26,undirected
gimli,merr,26,undirected
isen,roha,26,undirected
mord,ring,26,undirected
bree,frod,25,undirected
elen,gond,25,undirected
elen,isil,25,undirected
frod,gond,25,undirected
frod,nazg,25,undirected
frod,tiri,25,undirected
pipp,treeb,25,undirected
saru,theod,25,undirected
arag,saru,24,undirected
elve,shir,24,undirected
eome,eowy,24,undirected
eome,ganda,24,undirected
frod,tomb,24,undirected
ganda,rive,24,undirected
gimli,gloi,24,undirected
gond,isil,24,undirected
pipp,roha,24,undirected
arwe,elro,23,undirected
elve,lego,23,undirected
gond,mord,23,undirected
sams,orcs,23,undirected
bage,bilb,22,undirected
elve,ganda,22,undirected
eowy,merr,22,undirected
goll,mord,22,undirected
gond,tiri,22,undirected
isen,orth,22,undirected
lego,pipp,22,undirected
merr,orcs,22,undirected
mord,orcs,22,undirected
mord,saru,22,undirected
ring,saru,22,undirected
saru,treeb,22,undirected
bage,sams,21,undirected
bill,sams,21,undirected
cele,gala,21,undirected
comp,lego,21,undirected
frod,lori,21,undirected
gimli,treeb,21,undirected
goll,ring,21,undirected
gond,theod,21,undirected
isen,orcs,21,undirected
elve,gimli,20,undirected
ganda,goll,20,undirected
gimli,pipp,20,undirected
gond,osgi,20,undirected
saur,orcs,20,undirected
arag,isil,19,undirected
bilb,elro,19,undirected
boro,merr,19,undirected
boro,orcs,19,undirected
elro,elve,19,undirected
elve,saur,19,undirected
fara,goll,19,undirected
frod,hton,19,undirected
gimli,sams,19,undirected
gond,shir,19,undirected
lego,sams,19,undirected
merr,roha,19,undirected
merr,theod,19,undirected
arag,elve,18,undirected
arag,lori,18,undirected
arag,treeb,18,undirected
bere,fara,18,undirected
dwar,gimli,18,undirected
