IdSource,IdTarget,Weight,Type
frod,sams,171,undirected
frod,ganda,129,undirected
arag,frod,105,undirected
bilb,frod,96,undirected
frod,pipp,80,undirected
pipp,sams,72,undirected
frod,ring,71,undirected
frod,merr,64,undirected
frod,shir,64,undirected
merr,pipp,57,undirected
arag,sams,50,undirected
bilb,ganda,44,undirected
ganda,ring,43,undirected
merr,sams,43,undirected
boro,frod,42,undirected
arag,ganda,41,undirected
arag,boro,40,undirected
ganda,sams,31,undirected
arag,merr,30,undirected
elve,frod,29,undirected
frod,rive,29,undirected
bilb,shir,28,undirected
elro,frod,27,undirected
elro,ganda,27,undirected
elve,sams,27,undirected
ganda,mori,27,undirected
arag,bree,26,undirected
arag,comp,26,undirected
bage,frod,26,undirected
ganda,shir,26,undirected
ring,saur,24,undirected
arag,elro,22,undirected
arag,pipp,22,undirected
comp,frod,22,undirected
gimli,lego,22,undirected
bage,bilb,21,undirected
bilb,ring,21,undirected
bilb,sams,21,undirected
frod,lego,21,undirected
frod,tomb,21,undirected
arag,lego,20,undirected
frod,gimli,20,undirected
ganda,pipp,20,undirected
sams,shir,20,undirected
boro,comp,19,undirected
boro,ring,19,undirected
bree,shir,19,undirected
ganda,gimli,19,undirected
bree,frod,18,undirected
elro,ring,18,undirected
frod,nazg,18,undirected
ring,shir,17,undirected
bill,sams,16,undirected
boro,tiri,16,undirected
comp,ganda,16,undirected
comp,lego,16,undirected
ganda,rive,16,undirected
gber,tomb,16,undirected
arag,rive,15,undirected
bilb,goll,15,undirected
boro,sams,15,undirected
elve,ganda,15,undirected
elve,lego,15,undirected
arag,ring,14,undirected
boro,ganda,14,undirected
boro,lego,14,undirected
mord,saur,14,undirected
arag,gimli,13,undirected
arag,shir,13,undirected
boro,gond,13,undirected
elve,saur,13,undirected
frod,gild,13,undirected
frod,hton,13,undirected
isil,ring,13,undirected
bilb,hton,12,undirected
boro,pipp,12,undirected
dwar,elve,12,undirected
elro,elve,12,undirected
elve,gimli,12,undirected
frod,glorf,12,undirected
frod,goll,12,undirected
ganda,merr,12,undirected
gimli,sams,12,undirected
hton,shir,12,undirected
pipp,shir,12,undirected
bilb,elro,11,undirected
boro,gimli,11,undirected
comp,sams,11,undirected
elro,rive,11,undirected
elve,shir,11,undirected
lego,sams,11,undirected
merr,shir,11,undirected
ring,sams,11,undirected
arag,bilb,10,undirected
arag,elen,10,undirected
arag,elve,10,undirected
arag,glorf,10,undirected
arag,mori,10,undirected
arag,tiri,10,undirected
bage,ganda,10,undirected
bage,shir,10,undirected
bilb,merr,10,undirected
boro,merr,10,undirected
comp,gimli,10,undirected
comp,pipp,10,undirected
duri,gimli,10,undirected
elen,isil,10,undirected
elve,lori,10,undirected
ganda,lego,10,undirected
gimli,mori,10,undirected
ring,saru,10,undirected
arag,arat,9,undirected
arag,mord,9,undirected
bage,sams,9,undirected
bilb,pipp,9,undirected
dwar,ganda,9,undirected
dwar,gimli,9,undirected
elro,glorf,9,undirected
elro,saur,9,undirected
elve,rive,9,undirected
frod,gloi,9,undirected
frod,hald,9,undirected
frod,lori,9,undirected
frod,mori,9,undirected
ganda,goll,9,undirected
goll,ring,9,undirected
lego,merr,9,undirected
lego,pipp,9,undirected
mord,ring,9,undirected
rive,sams,9,undirected
arag,goll,8,undirected
bali,mori,8,undirected
bill,frod,8,undirected
cele,gala,8,undirected
elve,mord,8,undirected
ganda,mord,8,undirected
gimli,gloi,8,undirected
hald,lego,8,undirected
hobb,shir,8,undirected
hton,sams,8,undirected
merr,ring,8,undirected
ring,rive,8,undirected
ring,tiri,8,undirected
ring,tomb,8,undirected
rive,shir,8,undirected
arag,isil,7,undirected
boro,elro,7,undirected
boro,mord,7,undirected
bree,sams,7,undirected
comp,elve,7,undirected
comp,hald,7,undirected
comp,mori,7,undirected
comp,ring,7,undirected
elen,ring,7,undirected
elro,sams,7,undirected
frod,gala,7,undirected
frod,loth,7,undirected
frod,mord,7,undirected
frod,saur,7,undirected
frod,tiri,7,undirected
ganda,saur,7,undirected
gimli,merr,7,undirected
gimli,pipp,7,undirected
gond,ring,7,undirected
lego,loth,7,undirected
mord,saru,7,undirected
pipp,ring,7,undirected
saru,saur,7,undirected
arag,gond,6,undirected
arag,saur,6,undirected
boro,mori,6,undirected
bree,merr,6,undirected
cele,comp,6,undirected
comp,merr,6,undirected
elro,gloi,6,undirected
elro,pipp,6,undirected
elro,shir,6,undirected
elve,gloi,6,undirected
elve,hald,6,undirected
elve,loth,6,undirected
frod,orcs,6,undirected
gala,lori,6,undirected
ganda,hton,6,undirected
ganda,nazg,6,undirected
ganda,saru,6,undirected
isen,saru,6,undirected
isil,saur,6,undirected
merr,rive,6,undirected
mord,tiri,6,undirected
mori,saur,6,undirected
rive,saur,6,undirected
roha,saru,6,undirected
arag,lori,5,undirected
arag,orcs,5,undirected
bage,hton,5,undirected
bage,pipp,5,undirected
bali,ganda,5,undirected
bilb,elve,5,undirected
bilb,rive,5,undirected
boro,isil,5,undirected
boro,roha,5,undirected
boro,saru,5,undirected
duri,ganda,5,undirected
duri,mori,5,undirected
dwar,gloi,5,undirected
dwar,mori,5,undirected
elen,gond,5,undirected
elen,saur,5,undirected
elro,mord,5,undirected
elve,gild,5,undirected
frod,gber,5,undirected
frod,saru,5,undirected
ganda,gild,5,undirected
ganda,orcs,5,undirected
gild,shir,5,undirected
gloi,lego,5,undirected
glorf,ring,5,undirected
gond,isil,5,undirected
lego,lori,5,undirected
lori,sams,5,undirected
merr,tomb,5,undirected
mord,orcs,5,undirected
mori,orcs,5,undirected
mori,ring,5,undirected
nazg,pipp,5,undirected
orth,saru,5,undirected
saur,shir,5,undirected
andu,frod,4,undirected
arag,arwe,4,undirected
arag,bali,4,undirected
arag,bill,4,undirected
arag,loth,4,undirected
bali,frod,4,undirected
bali,gimli,4,undirected
bilb,gloi,4,undirected
bill,bree,4,undirected
boro,elen,4,undirected
bree,hobb,4,undirected
bree,pipp,4,undirected
bree,rive,4,undirected
bree,tomb,4,undirected
cele,elve,4,undirected
cele,lori,4,undirected
comp,elro,4,undirected
comp,gala,4,undirected
comp,loth,4,undirected
comp,tiri,4,undirected
dtow,mord,4,undirected
dtow,saur,4,undirected
elen,frod,4,undirected
elen,ganda,4,undirected
elro,saru,4,undirected
elve,gala,4,undirected
elve,gond,4,undirected
elve,hobb,4,undirected
elve,mori,4,undirected
elve,nume,4,undirected
elve,pipp,4,undirected
elve,ring,4,undirected
frod,hobb,4,undirected
gala,ring,4,undirected
ganda,gloi,4,undirected
ganda,glorf,4,undirected
ganda,hobb,4,undirected
gild,pipp,4,undirected
gimli,hald,4,undirected
gloi,mori,4,undirected
goll,orcs,4,undirected
goll,shir,4,undirected
hald,lori,4,undirected
isen,orth,4,undirected
isen,roha,4,undirected
isen,saur,4,undirected
isil,mord,4,undirected
isil,tiri,4,undirected
mord,morg,4,undirected
mord,shir,4,undirected
mori,sams,4,undirected
nazg,sams,4,undirected
nazg,shir,4,undirected
nume,saur,4,undirected
roha,treeb,4,undirected
shir,tomb,4,undirected
andu,arag,3,undirected
andu,elve,3,undirected
andu,gond,3,undirected
andu,lori,3,undirected
andu,mord,3,undirected
andu,orcs,3,undirected
andu,roha,3,undirected
andu,saur,3,undirected
arag,cele,3,undirected
arag,gala,3,undirected
arag,hald,3,undirected
arag,nazg,3,undirected
arag,roha,3,undirected
arat,elen,3,undirected
arat,isil,3,undirected
arwe,elro,3,undirected
arwe,frod,3,undirected
bage,ring,3,undirected
bali,gloi,3,undirected
bilb,gild,3,undirected
bilb,thor,3,undirected
bill,comp,3,undirected
bill,ganda,3,undirected
boro,nume,3,undirected
boro,orcs,3,undirected
boro,saur,3,undirected
bree,dwar,3,undirected
bree,ganda,3,undirected
bree,ring,3,undirected
comp,goll,3,undirected
comp,gond,3,undirected
dene,gond,3,undirected
dwar,frod,3,undirected
dwar,hobb,3,undirected
dwar,lego,3,undirected
elen,mord,3,undirected
elro,gond,3,undirected
elro,isil,3,undirected
elro,lori,3,undirected
elve,glorf,3,undirected
