Source,Target,Weight,Type
frod,sams,193,undirected
ganda,pipp,79,undirected
merr,pipp,45,undirected
arag,ganda,34,undirected
dene,ganda,34,undirected
dene,pipp,34,undirected
gimli,lego,32,undirected
ganda,gond,30,undirected
arag,gimli,28,undirected
bere,pipp,27,undirected
frod,pipp,27,undirected
arag,lego,26,undirected
arag,eome,24,undirected
fara,ganda,24,undirected
fara,pipp,24,undirected
frod,ganda,24,undirected
gond,roha,24,undirected
arag,gond,22,undirected
arag,roha,22,undirected
frod,shir,22,undirected
gond,pipp,22,undirected
ring,sams,22,undirected
arag,merr,21,undirected
dene,fara,21,undirected
eowy,merr,21,undirected
pipp,sams,21,undirected
pipp,shir,21,undirected
arag,pipp,20,undirected
eome,theod,20,undirected
frod,ring,20,undirected
arag,fara,19,undirected
mord,sams,19,undirected
sams,shir,19,undirected
eowy,fara,18,undirected
frod,mord,18,undirected
bere,fara,17,undirected
eome,eowy,17,undirected
eome,roha,17,undirected
fara,gond,17,undirected
ganda,roha,17,undirected
ganda,sfax,17,undirected
merr,theod,17,undirected
bilb,frod,16,undirected
frod,merr,16,undirected
merr,sams,16,undirected
bere,ganda,15,undirected
ganda,saur,15,undirected
merr,shir,15,undirected
arag,elro,14,undirected
arag,eowy,14,undirected
bage,frod,14,undirected
dene,gond,14,undirected
lego,merr,14,undirected
pipp,roha,14,undirected
roha,theod,14,undirected
arag,mord,13,undirected
fara,roha,13,undirected
ganda,merr,13,undirected
ganda,mord,13,undirected
arag,theod,12,undirected
eome,gond,12,undirected
eome,merr,12,undirected
eowy,gond,12,undirected
eowy,roha,12,undirected
gimli,merr,12,undirected
goll,sams,12,undirected
gond,theod,12,undirected
pipp,sfax,12,undirected
arag,tiri,11,undirected
bere,dene,11,undirected
boro,dene,11,undirected
boro,pipp,11,undirected
frod,goll,11,undirected
ganda,gimli,11,undirected
ganda,lego,11,undirected
andu,gond,10,undirected
arag,frod,10,undirected
bilb,sams,10,undirected
eome,ganda,10,undirected
ganda,sams,10,undirected
gond,merr,10,undirected
mord,saur,10,undirected
pipp,tiri,10,undirected
arag,saur,9,undirected
bage,sams,9,undirected
eowy,theod,9,undirected
ganda,ring,9,undirected
ganda,shir,9,undirected
lego,pipp,9,undirected
mord,ring,9,undirected
ring,saur,9,undirected
arag,sams,8,undirected
bere,gond,8,undirected
boro,ganda,8,undirected
elro,ganda,8,undirected
elve,sams,8,undirected
frod,gond,8,undirected
gala,sams,8,undirected
ganda,saru,8,undirected
ganda,treeb,8,undirected
gimli,pipp,8,undirected
gimli,roha,8,undirected
gond,morg,8,undirected
gond,saur,8,undirected
gond,shir,8,undirected
sams,saur,8,undirected
arag,comp,7,undirected
cele,gala,7,undirected
dene,tiri,7,undirected
elve,frod,7,undirected
gond,osgi,7,undirected
grim,saru,7,undirected
mord,roha,7,undirected
sams,shel,7,undirected
arag,ring,6,undirected
arwe,elro,6,undirected
bilb,shir,6,undirected
boro,fara,6,undirected
comp,gimli,6,undirected
dene,theod,6,undirected
dtow,saur,6,undirected
edor,theod,6,undirected
elro,gala,6,undirected
elro,rive,6,undirected
eome,gimli,6,undirected
eome,lego,6,undirected
frod,gimli,6,undirected
frod,rive,6,undirected
frod,saru,6,undirected
ganda,orth,6,undirected
ganda,tiri,6,undirected
gond,isil,6,undirected
gond,mord,6,undirected
gond,tiri,6,undirected
merr,roha,6,undirected
merr,tiri,6,undirected
mord,morg,6,undirected
orth,treeb,6,undirected
sams,tomb,6,undirected
andu,ganda,5,undirected
arag,isil,5,undirected
arag,orth,5,undirected
arag,shir,5,undirected
bage,hton,5,undirected
bilb,rive,5,undirected
bill,sams,5,undirected
comp,lego,5,undirected
comp,pipp,5,undirected
dtow,frod,5,undirected
elro,eome,5,undirected
elro,frod,5,undirected
elro,lego,5,undirected
eome,fara,5,undirected
eome,mord,5,undirected
eorl,theod,5,undirected
fara,frod,5,undirected
frod,gala,5,undirected
frod,lego,5,undirected
frod,orcs,5,undirected
frod,saur,5,undirected
ganda,theod,5,undirected
gimli,sams,5,undirected
gond,sams,5,undirected
gorb,sams,5,undirected
hton,merr,5,undirected
hton,sams,5,undirected
mdoo,sams,5,undirected
merr,saru,5,undirected
mord,tiri,5,undirected
morg,osgi,5,undirected
morg,sams,5,undirected
roha,tiri,5,undirected
sams,orcs,5,undirected
arag,bere,4,undirected
arag,edor,4,undirected
arag,elen,4,undirected
arag,rive,4,undirected
bage,merr,4,undirected
bage,pipp,4,undirected
bage,shir,4,undirected
bilb,elro,4,undirected
bree,frod,4,undirected
bree,ganda,4,undirected
dene,mord,4,undirected
dtow,sams,4,undirected
elro,gimli,4,undirected
elro,merr,4,undirected
elro,roha,4,undirected
eome,pipp,4,undirected
eowy,ganda,4,undirected
fara,merr,4,undirected
fara,osgi,4,undirected
frod,gorb,4,undirected
frod,morg,4,undirected
frod,tiri,4,undirected
gimli,gloi,4,undirected
gond,nume,4,undirected
isen,merr,4,undirected
isen,pipp,4,undirected
isen,saru,4,undirected
isil,saur,4,undirected
lego,roha,4,undirected
lego,sams,4,undirected
mord,pipp,4,undirected
ring,shir,4,undirected
roha,sfax,4,undirected
saru,theod,4,undirected
shir,tiri,4,undirected
andu,arag,3,undirected
andu,lego,3,undirected
andu,osgi,3,undirected
andu,pipp,3,undirected
arag,arat,3,undirected
arag,arwe,3,undirected
arag,boro,3,undirected
bere,boro,3,undirected
bere,comp,3,undirected
bilb,ganda,3,undirected
bree,sams,3,undirected
cele,elro,3,undirected
comp,ganda,3,undirected
comp,gond,3,undirected
dene,roha,3,undirected
dene,saur,3,undirected
dene,shir,3,undirected
dtow,mord,3,undirected
edor,ganda,3,undirected
edor,merr,3,undirected
edor,roha,3,undirected
elen,gond,3,undirected
elro,sams,3,undirected
elro,shir,3,undirected
elro,theod,3,undirected
elve,lego,3,undirected
ents,treeb,3,undirected
eome,eorl,3,undirected
eome,morg,3,undirected
eome,tiri,3,undirected
fara,theod,3,undirected
fara,tiri,3,undirected
frod,grim,3,undirected
frod,hton,3,undirected
frod,mdoo,3,undirected
frod,shel,3,undirected
gala,ganda,3,undirected
ganda,isen,3,undirected
gimli,mord,3,undirected
gimli,treeb,3,undirected
goll,ring,3,undirected
gond,lego,3,undirected
gond,ring,3,undirected
helm,theod,3,undirected
isil,nume,3,undirected
lego,mord,3,undirected
lego,treeb,3,undirected
lori,sams,3,undirected
mord,orcs,3,undirected
mord,saru,3,undirected
mord,shir,3,undirected
morg,saur,3,undirected
nazg,pipp,3,undirected
pipp,saur,3,undirected
rive,sams,3,undirected
roha,saru,3,undirected
roha,saur,3,undirected
sams,tiri,3,undirected
